,번호,신고일,구정보,주소,유형,조치일,lat,lon
0,33615,2022-03-07,마포구,서울특별시 마포구 서교동 406,보도 중앙,2022-03-07,37.5507271129883,126.922809326454
1,33617,2022-03-07,마포구,서울특별시 마포구 서교동 350-1,보도 중앙,2022-03-07,37.5548647336913,126.925996522062
2,33619,2022-03-07,마포구,서울특별시 마포구 서교동 350-1,보도 중앙,2022-03-07,37.5548647336913,126.925996522062
3,33620,2022-03-07,마포구,서울특별시 마포구 서교동 406,보도 중앙,2022-03-07,37.5507271129883,126.922809326454
4,33625,2022-03-07,마포구,서울특별시 마포구 연남동 239-25,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5644734393831,126.923631030989
5,33627,2022-03-07,마포구,서울특별시 마포구 성산동 54-17,"버스정류장, 택시 승강장",2022-03-07,37.5643419138829,126.912616506642
6,33628,2022-03-07,마포구,서울특별시 마포구 성산동 103-16,"횡단보도, 산책로 등",2022-03-07,37.5621444062699,126.914616987655
7,33630,2022-03-07,마포구,서울특별시 마포구 성산동 189-1,"버스정류장, 택시 승강장",2022-03-07,37.5639860064567,126.907397225785
8,33637,2022-03-07,마포구,서울특별시 마포구 상암동 1695,"횡단보도, 산책로 등",2022-03-07,37.5814605142233,126.891709782012
9,33640,2022-03-07,마포구,서울특별시 마포구 서교동 406,"횡단보도, 산책로 등",2022-03-07,37.5507271129883,126.922809326454
10,33646,2022-03-07,마포구,서울특별시 마포구 서교동 350-3,"횡단보도, 산책로 등",2022-03-07,37.5555449729277,126.927866833404
11,33654,2022-03-07,마포구,서울특별시 마포구 중동 66-9,"버스정류장, 택시 승강장",2022-03-07,37.5699763940523,126.903716056338
12,33662,2022-03-07,마포구,서울특별시 마포구 서교동 475-24,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5554479010703,126.910803557577
13,33668,2022-03-07,마포구,서울특별시 마포구 연남동 224-68,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5639108781245,126.926213946945
14,33677,2022-03-07,마포구,서울특별시 마포구 연남동 255-30,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5615826675639,126.924306739201
15,33680,2022-03-07,마포구,서울특별시 마포구 서교동 461-6,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5552082084924,126.917327246096
16,33687,2022-03-07,마포구,서울특별시 마포구 서교동 350-1,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5548647336913,126.925996522062
17,33691,2022-03-07,마포구,서울특별시 마포구 공덕동 427-15,보도 중앙,2022-03-07,37.5432952899122,126.95221838455
18,33698,2022-03-07,마포구,서울특별시 마포구 대흥동 118-19,보도 중앙,2022-03-07,37.5479719826673,126.941896152758
19,33704,2022-03-07,마포구,서울특별시 마포구 상수동 153-3,보도 중앙,2022-03-07,37.5476510176057,126.924768722201
20,33708,2022-03-07,마포구,서울특별시 마포구 동교동 155-6,"버스정류장, 택시 승강장",2022-03-07,37.5578664425226,126.92533859831
21,33710,2022-03-07,마포구,서울특별시 마포구 동교동 155-6,"버스정류장, 택시 승강장",2022-03-07,37.5578664425226,126.92533859831
22,33712,2022-03-07,마포구,서울특별시 마포구 동교동 155-6,"버스정류장, 택시 승강장",2022-03-07,37.5578664425226,126.92533859831
23,33714,2022-03-07,마포구,서울특별시 마포구 상수동 153-3,보도 중앙,2022-03-07,37.5476510176057,126.924768722201
24,33715,2022-03-07,마포구,서울특별시 마포구 염리동 169-12,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5447649399898,126.947211145867
25,33717,2022-03-07,마포구,서울특별시 마포구 동교동 192-6,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5560510740227,126.923866088623
26,33721,2022-03-07,마포구,서울특별시 마포구 서교동 349,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5541032354791,126.929271434027
