,번호,신고일,구정보,주소,유형,조치일,lat,lon
27,33722,2022-03-07,마포구,서울특별시 마포구 서교동 349,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5541032354791,126.929271434027
28,33727,2022-03-07,마포구,서울특별시 마포구 창전동 3-181,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5526666560176,126.929979306544
29,33729,2022-03-07,마포구,서울특별시 마포구 창전동 3-181,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5526666560176,126.929979306544
30,33731,2022-03-07,마포구,서울특별시 마포구 도화동 572,보도 중앙,2022-03-07,37.5432189238297,126.949707866391
31,33732,2022-03-07,마포구,서울특별시 마포구 창전동 6-240,"버스정류장, 택시 승강장",2022-03-07,37.5527489214718,126.92893094276
32,33736,2022-03-07,마포구,서울특별시 마포구 도화동 572,보도 중앙,2022-03-07,37.5432189238297,126.949707866391
33,33739,2022-03-07,마포구,서울특별시 마포구 서교동 349,"점자블록, 엘리베이터 입구",2022-03-07,37.5541032354791,126.929271434027
34,33740,2022-03-07,마포구,서울특별시 마포구 공덕동 409-14,보도 중앙,2022-03-07,37.5454153421884,126.951120189198
35,33743,2022-03-07,마포구,서울특별시 마포구 공덕동 457,보도 중앙,2022-03-07,37.5481694146033,126.95219399895
36,33745,2022-03-07,마포구,서울특별시 마포구 중동 84-9,"버스정류장, 택시 승강장",2022-03-07,37.574398734485,126.902384767586
37,33746,2022-03-07,마포구,서울특별시 마포구 서교동 427,"횡단보도, 산책로 등",2022-03-07,37.5527797667785,126.918257803724
38,33750,2022-03-07,마포구,서울특별시 마포구 공덕동 175-228,보도 중앙,2022-03-07,37.5494245107231,126.952429710629
39,33751,2022-03-07,마포구,서울특별시 마포구 서교동 427,"횡단보도, 산책로 등",2022-03-07,37.5527797667785,126.918257803724
40,33753,2022-03-07,마포구,서울특별시 마포구 공덕동 464-4,보도 중앙,2022-03-07,37.5500993140161,126.952096689061
41,33755,2022-03-07,마포구,서울특별시 마포구 노고산동 40-19,보도 중앙,2022-03-07,37.5555509454392,126.939109030023
42,33759,2022-03-07,마포구,서울특별시 마포구 노고산동 40-22,보도 중앙,2022-03-07,37.5554641123034,126.939153690983
43,33762,2022-03-07,마포구,서울특별시 마포구 노고산동 57-10,보도 중앙,2022-03-07,37.555222104609,126.935422121225
44,33768,2022-03-07,마포구,서울특별시 마포구 구수동 2-10,보도 중앙,2022-03-07,37.5474527094449,126.933317914342
45,33773,2022-03-07,마포구,서울특별시 마포구 신수동 371-15,보도 중앙,2022-03-07,37.5461759033803,126.934281019064
46,33775,2022-03-07,마포구,서울특별시 마포구 합정동 358-6,보도 중앙,2022-03-07,37.5456499031599,126.917748455072
47,33784,2022-03-07,마포구,서울특별시 마포구 당인동 32-1,보도 중앙,2022-03-07,37.5456422105427,126.920460533412
48,33787,2022-03-07,마포구,서울특별시 마포구 합정동 404,보도 중앙,2022-03-07,37.5470065221304,126.91319643871
49,33789,2022-03-07,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5579577201773,126.924358166933
50,33793,2022-03-07,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5579577201773,126.924358166933
51,33798,2022-03-07,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5579577201773,126.924358166933
52,33799,2022-03-07,마포구,서울특별시 마포구 염리동 128-19,"버스정류장, 택시 승강장",2022-03-07,37.5481727631614,126.947356872233
53,33801,2022-03-07,마포구,서울특별시 마포구 염리동 128-19,"버스정류장, 택시 승강장",2022-03-07,37.5481727631614,126.947356872233
54,33808,2022-03-07,마포구,서울특별시 마포구 공덕동 175-193,"점자블록, 엘리베이터 입구",2022-03-07,37.5492371672678,126.951920931368
55,33811,2022-03-07,마포구,서울특별시 마포구 노고산동 31-123,보도 중앙,2022-03-07,37.5549555567162,126.936860774942
56,33813,2022-03-07,마포구,서울특별시 마포구 노고산동 31-123,보도 중앙,2022-03-07,37.5549555567162,126.936860774942
57,33821,2022-03-07,마포구,서울특별시 마포구 노고산동 109-1,보도 중앙,2022-03-07,37.5536510458968,126.934786213095
58,33824,2022-03-07,마포구,서울특별시 마포구 망원동 397-5,"버스정류장, 택시 승강장",2022-03-07,37.5531508535583,126.9033072085
59,33829,2022-03-07,마포구,서울특별시 마포구 노고산동 109-1,보도 중앙,2022-03-07,37.5536510458968,126.934786213095
60,33835,2022-03-07,마포구,서울특별시 마포구 신수동 100-1,보도 중앙,2022-03-07,37.5500834330841,126.933297011667
61,33843,2022-03-07,마포구,서울특별시 마포구 합정동 423,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5488512975175,126.916416852264
62,33845,2022-03-07,마포구,서울특별시 마포구 대흥동 22-60,보도 중앙,2022-03-07,37.551308332937,126.94216776668
63,33853,2022-03-07,마포구,서울특별시 마포구 합정동 402-1,"버스정류장, 택시 승강장",2022-03-07,37.5466615856284,126.917807318324
64,33859,2022-03-07,마포구,서울특별시 마포구 합정동 185-9,"횡단보도, 산책로 등",2022-03-07,37.5456532876466,126.912188520699
65,33862,2022-03-07,마포구,서울특별시 마포구 합정동 197-1,"횡단보도, 산책로 등",2022-03-07,37.5455679940569,126.912594633041
66,33863,2022-03-07,마포구,서울특별시 마포구 대흥동 22-60,보도 중앙,2022-03-07,37.551308332937,126.94216776668
67,33866,2022-03-07,마포구,서울특별시 마포구 대흥동 22-60,보도 중앙,2022-03-07,37.551308332937,126.94216776668
68,33875,2022-03-07,마포구,서울특별시 마포구 대흥동 801-63,보도 중앙,2022-03-07,37.5444142700528,126.938808039818
69,33876,2022-03-07,마포구,서울특별시 마포구 합정동 409,"점자블록, 엘리베이터 입구",2022-03-07,37.5492417026498,126.906906005588
70,33883,2022-03-07,마포구,서울특별시 마포구 합정동 426-38,"횡단보도, 산책로 등",2022-03-07,37.5523079756406,126.912194180671
71,33885,2022-03-07,마포구,서울특별시 마포구 합정동 426-38,"횡단보도, 산책로 등",2022-03-07,37.5523079756406,126.912194180671
72,33890,2022-03-07,마포구,서울특별시 마포구 동교동 160-5,"횡단보도, 산책로 등",2022-03-07,37.5557239014989,126.921631579426
73,33896,2022-03-07,마포구,서울특별시 마포구 동교동 192-6,"횡단보도, 산책로 등",2022-03-07,37.5560510740227,126.923866088623
74,33905,2022-03-07,마포구,서울특별시 마포구 동교동 192-6,"횡단보도, 산책로 등",2022-03-07,37.5560510740227,126.923866088623
75,33915,2022-03-07,마포구,서울특별시 마포구 서교동 349,"횡단보도, 산책로 등",2022-03-07,37.5541032354791,126.929271434027
76,33918,2022-03-07,마포구,서울특별시 마포구 신수동 371-16,보도 중앙,2022-03-07,37.5466924581678,126.934627514457
77,33923,2022-03-07,마포구,서울특별시 마포구 동교동 172-6,지하철역 진출입로 및 주변,2022-03-07,37.5576105919953,126.926975500488
78,33928,2022-03-07,마포구,서울특별시 마포구 동교동 172-6,"횡단보도, 산책로 등",2022-03-07,37.5576105919953,126.926975500488
79,33935,2022-03-07,마포구,서울특별시 마포구 상수동 309-20,보도 중앙,2022-03-07,37.5464773840616,126.922963532253
80,33937,2022-03-07,마포구,서울특별시 마포구 동교동 147-74,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5600085506018,126.924610636053
81,33938,2022-03-07,마포구,서울특별시 마포구 동교동 165-8,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5561185036267,126.923502051319
82,33943,2022-03-07,마포구,서울특별시 마포구 당인동 12-2,보도 중앙,2022-03-07,37.5477860584721,126.920077239895
83,33954,2022-03-07,마포구,서울특별시 마포구 합정동 405,보도 중앙,2022-03-07,37.5467378734237,126.91299113822
84,33956,2022-03-07,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5579577201773,126.924358166933
85,33961,2022-03-07,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5579577201773,126.924358166933
86,33963,2022-03-07,마포구,서울특별시 마포구 동교동 192-44,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5579577201773,126.924358166933
87,33976,2022-03-07,마포구,서울특별시 마포구 서교동 406,"버스정류장, 택시 승강장",2022-03-07,37.5507271129883,126.922809326454
88,33981,2022-03-07,마포구,서울특별시 마포구 합정동 404-1,보도와 차도가 구분된 도로의 차도,2022-03-07,37.548740084944,126.913498724235
89,33985,2022-03-07,마포구,서울특별시 마포구 서교동 415,보도와 차도가 구분된 도로의 차도,2022-03-07,37.5495351273455,126.918830677235
