,번호,신고일,구정보,주소,유형,조치일,lat,lon
66,37537,2022-03-22,마포구,서울특별시 마포구 망원동 431-63,보도와 차도가 구분된 도로의 차도,2022-03-22,37.5588356741309,126.900142297572
67,37544,2022-03-22,마포구,서울특별시 마포구 망원동 454-36,"점자블록, 엘리베이터 입구",2022-03-22,37.5558002679001,126.898723186969
68,37546,2022-03-22,마포구,서울특별시 마포구 합정동 414-3,지하철역 진출입로 및 주변,2022-03-22,37.5490305149203,126.914292457754
69,37547,2022-03-22,마포구,서울특별시 마포구 용강동 494-66,보도 중앙,2022-03-22,37.5430810736247,126.93813981975
70,37557,2022-03-22,마포구,서울특별시 마포구 용강동 494-2,보도 중앙,2022-03-22,37.5423039590436,126.937280948057
71,37560,2022-03-22,마포구,서울특별시 마포구 합정동 354-37,"횡단보도, 산책로 등",2022-03-22,37.5477658591577,126.919389577715
72,37561,2022-03-22,마포구,서울특별시 마포구 용강동 494-117,보도 중앙,2022-03-22,37.5422464741676,126.937789846981
73,37566,2022-03-22,마포구,서울특별시 마포구 용강동 494-64,보도 중앙,2022-03-22,37.5423206613093,126.937856093288
74,37571,2022-03-22,마포구,서울특별시 마포구 용강동 121-6,보도 중앙,2022-03-22,37.5411059783772,126.940033799973
75,37578,2022-03-22,마포구,서울특별시 마포구 도화동 169-3,보도 중앙,2022-03-22,37.5410703067096,126.95120302407
76,37579,2022-03-22,마포구,서울특별시 마포구 구수동 102-11,"횡단보도, 산책로 등",2022-03-22,37.5451455902646,126.931703963369
